species_strain	species	num_gene	num_strain_sample	sum_strain_depth	species_gene_frac	log_selected_gene_depth_ratio_std	num_geno_positions
102321_32	102321	2725	10	64.43906893375927	0.997080291970803	0.1743250455782112	63721
102321_36	102321	2920	7	106.68243298115569	0.9992700729927008	0.1709906462318719	63095
102321_37	102321	3131	11	20.27195952360449	0.9656934306569344	0.1812550291318382	41507
102321_39	102321	3000	8	28.45985943382632	0.9897810218978104	0.1864556597441849	63675
102321_43	102321	2770	13	64.24359405166153	0.9927007299270072	0.1767602320007334	63374
102321_45	102321	2996	17	28.998454580751734	0.9905109489051096	0.1905564148142638	63182
102321_46	102321	3061	12	75.01661814484375	0.9948905109489052	0.181750392963845	40547
102321_48	102321	2883	13	34.73372675367817	0.9905109489051096	0.1828138009490564	44585
102321_5	102321	2873	8	92.91942175407944	0.9978102189781022	0.1767449666062218	23899
102321_55	102321	3023	12	36.33727891790235	0.9934306569343064	0.1824320366579041	63158
102321_56	102321	2729	9	19.96172400086946	0.9715328467153284	0.1802574277399672	20792
102321_58	102321	3055	6	92.08015737870176	0.9992700729927008	0.1677410861432122	31731
102321_60	102321	2804	14	18.568855033027663	0.9642335766423358	0.1770583101067388	52570
102321_62	102321	2885	10	39.24600220147286	0.994160583941606	0.1765162589595528	62946
102321_68	102321	3143	16	22.921127759869467	0.9693430656934306	0.1911440771468329	63352
102321_70	102321	2918	8	36.97063146272416	0.9883211678832116	0.1765124004253461	56010
102321_75	102321	2735	5	33.25056307746483	0.994160583941606	0.1754968141878474	63767
102321_83	102321	2917	16	40.99030799398427	0.9854014598540146	0.184418599069284	53253
102321_9	102321	3059	12	65.1375184002134	0.994160583941606	0.183736253734634	56857
102321_98	102321	2834	4	12.245372305243489	0.9532846715328468	0.1901220525882012	26596
102327_0	102327	4002	15	164.1032871315015	0.9975288303130148	0.186689092979599	8444
102327_13	102327	3821	7	13.147897859818125	0.984349258649094	0.1939335368132595	8277
102327_15	102327	4342	11	24.5151444016334	0.9884678747940692	0.2003716585420253	8357
102327_17	102327	3886	11	19.228541255806547	0.9752883031301482	0.1935746975438781	8595
102327_19	102327	4454	9	14.681805631309462	0.9818780889621088	0.1959549900341099	8003
102327_2	102327	3966	1	4.220975374169687	0.970345963756178	0.1970033814773891	6669
102327_20	102327	3957	9	11.976614112295692	0.9686985172981878	0.1922053635669358	7934
102327_21	102327	4178	6	18.617562580653072	0.9901153212520593	0.1892122743992527	1752
102327_25	102327	4058	15	21.80021678624046	0.9810543657331136	0.1876395777624889	707
102327_27	102327	4265	8	8.596236666504712	0.9686985172981878	0.2011533906024477	5340
102327_28	102327	4833	5	13.057226468741742	0.985996705107084	0.2017170838109225	1155
102327_29	102327	4016	6	39.94629666006457	0.9942339373970346	0.1934238237155446	1848
102327_31	102327	4023	2	6.03983521297716	0.9695222405271828	0.1921991963355389	497
102327_35	102327	4122	1	4.611630597988672	0.9604612850082372	0.2029022244318499	1904
102327_36	102327	3973	5	6.398216677717239	0.9555189456342668	0.2021214701401016	1480
102327_37	102327	4072	10	12.75374677718893	0.9752883031301482	0.2045030560777593	2564
102327_38	102327	4080	5	10.837600541901502	0.985172981878089	0.1932276768622259	1052
102327_44	102327	4195	3	5.685528458675526	0.9654036243822076	0.1994283035624355	902
102327_45	102327	4559	24	27.15854244201625	0.985996705107084	0.2116080037268702	1560
102327_47	102327	4651	5	26.780338991889703	0.9925864909390444	0.1886172417920928	1481
102327_5	102327	5297	10	27.30233245492044	0.985996705107084	0.2012343251184193	2245
102327_52	102327	4383	7	9.998519748845634	0.9744645799011532	0.1999424913479383	3370
102327_57	102327	4251	5	8.748716960286803	0.9728171334431632	0.2059004431168183	1612
102327_6	102327	4040	1	4.900573595634678	0.9686985172981878	0.2005011652851849	740
102327_7	102327	3722	4	26.64870274235723	0.9925864909390444	0.1831027434232424	527
102327_79	102327	4283	11	18.040052598271647	0.9868204283360792	0.1985160041650936	2869
102327_8	102327	5532	5	38.893607956301615	0.9909390444810544	0.1909558389231173	614
102327_9	102327	4530	1	9.954834522655704	0.985172981878089	0.2027636245183732	892
102330_0	102330	6391	22	15.38875249670608	0.9947674418604652	0.1331424274177114	189211
102330_2	102330	6691	12	21.056143635721824	0.997093023255814	0.140392264967566	193039
102330_3	102330	6522	37	13.30132009928132	0.9869186046511628	0.1365391244022643	182678
102330_7	102330	6246	8	3.003769987700407	0.9671511627906976	0.1676847403200554	17133
102330_9	102330	6393	7	10.689297091590868	0.9834302325581395	0.1482553478990305	15972
102340_0	102340	3112	34	43.15556886348912	0.9965706447187928	0.134958493759291	36783
102340_1	102340	2731	32	17.066025688873754	0.98559670781893	0.1309461972954804	34666
102340_16	102340	2765	16	6.923750469921516	0.9636488340192044	0.1441546495946808	8217
102340_22	102340	2889	3	6.456705317926819	0.9753086419753086	0.1417898441609676	5001
102340_3	102340	2936	30	27.203273663352736	0.9972565157750344	0.1395223573379577	3266
102340_6	102340	2593	6	4.786658794280147	0.9588477366255144	0.1474335624001155	3761
102340_8	102340	3067	13	11.706693147286405	0.9938271604938272	0.140593231883357	8702
102340_9	102340	2951	7	7.818568614964707	0.9842249657064472	0.1483686961423231	2270
102351_0	102351	5650	1	13.59660124592238	0.9943586698337292	0.1567114873268541	132871
102351_1	102351	5702	4	67.46361872099833	0.98812351543943	0.1569136639387539	114425
102351_11	102351	5908	1	4.78758069246161	0.9756532066508312	0.1833665448833412	74499
102351_4	102351	5317	2	5.258086737382757	0.9679334916864608	0.1725586047182287	119630
102351_5	102351	5224	5	5.3355181020559845	0.953978622327791	0.1742001409572366	8078
102369_0	102369	3860	4	6.041101515505966	0.9854187860291624	0.2030854779254973	112495
102371_1	102371	2661	21	32.75261005898869	0.9836206896551724	0.1806939866832345	27114
102371_2	102371	2579	11	28.282817965779337	0.988793103448276	0.2038938599081903	26831
102378_0	102378	3411	28	380.7317985395071	0.9994526546250684	0.1642257906924899	63992
