library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
HSM7J4KQ_H4016C24_MBX	HSM7J4KQ	metabolomics			HSM7J4KQ_H4016C24_MBX
HSM6XRQB_H4017C1_MBX	HSM6XRQB	metabolomics			HSM6XRQB_H4017C1_MBX
HSM6XRQM_H4017C5_MBX	HSM6XRQM	metabolomics			HSM6XRQM_H4017C5_MBX
HSM7CYY3_H4017C14_MBX	HSM7CYY3	metabolomics			HSM7CYY3_H4017C14_MBX
HSM7CYYB_H4017C20_MBX	HSM7CYYB	metabolomics			HSM7CYYB_H4017C20_MBX
HSM6XRQC_H4018C1_MBX	HSM6XRQC	metabolomics			HSM6XRQC_H4018C1_MBX
HSM6XRQW_H4018C5_MBX	HSM6XRQW	metabolomics			HSM6XRQW_H4018C5_MBX
HSM67VFR_H4018C10_MBX	HSM67VFR	metabolomics			HSM67VFR_H4018C10_MBX
HSM7CYYF_H4018C13_MBX	HSM7CYYF	metabolomics			HSM7CYYF_H4018C13_MBX
HSM7J4LD_H4018C19_MBX	HSM7J4LD	metabolomics			HSM7J4LD_H4018C19_MBX
HSM7J4LN_H4018C24_MBX	HSM7J4LN	metabolomics			HSM7J4LN_H4018C24_MBX
HSM6XRQE_H4019C1_MBX	HSM6XRQE	metabolomics			HSM6XRQE_H4019C1_MBX
HSM6XRRD_H4019C6_MBX	HSM6XRRD	metabolomics			HSM6XRRD_H4019C6_MBX
HSM6XRV2_H4019C9_MBX	HSM6XRV2	metabolomics			HSM6XRV2_H4019C9_MBX
HSM7J4PE_H4019C14_MBX	HSM7J4PE	metabolomics			HSM7J4PE_H4019C14_MBX
HSM7J4M4_H4019C19_MBX	HSM7J4M4	metabolomics			HSM7J4M4_H4019C19_MBX
HSM7J4ME_H4019C24_MBX	HSM7J4ME	metabolomics			HSM7J4ME_H4019C24_MBX
HSM67VCZ_H4020C3_MBX	HSM67VCZ	metabolomics			HSM67VCZ_H4020C3_MBX
HSM67VD6_H4020C6_MBX	HSM67VD6	metabolomics			HSM67VD6_H4020C6_MBX
HSM67VHF_H4020C9_MBX	HSM67VHF	metabolomics			HSM67VHF_H4020C9_MBX
HSM7J4PW_H4020C17_MBX	HSM7J4PW	metabolomics			HSM7J4PW_H4020C17_MBX
HSM7J4IS_H4020C23_MBX	HSM7J4IS	metabolomics			HSM7J4IS_H4020C23_MBX
HSM67VDX_H4022C1_MBX	HSM67VDX	metabolomics			HSM67VDX_H4022C1_MBX
HSM67VES_H4022C4_MBX	HSM67VES	metabolomics			HSM67VES_H4022C4_MBX
