mgen_id	mgen_group_id
MSM6J2IY_G110742	core
MSM6J2J1_G110726	core
MSM6J2QR_G109952	core
MSM5LLEP_G109983	core
MSM5LLER_G110747	core
MSM6J2LT_G110743	core
MSM6J2J3_G109986	core
MSM6J2J5_G109960	core
MSM6J2JB_G110740	core
MSM6J2JD_G109941	core
MSM6J2PK_G109970	core
MSM6J2PM_G110737	core
MSM6J2HB_G109982	core
MSM6J2HD_G110751	core
MSM6J2HF_G110745	core
MSM6J2HH_G110748	core
MSM6J2HJ_G110738	core
MSM6J2HL_G110741	core
MSM6J2OH_G110727	core
MSM6J2OJ_G110744	core
MSM6J2OL_G110753	core
MSM6J2ON_G110754	core
MSM6J2OP_G109973	core
MSM79HEA_G110664	core
MSM5LLHC_G109955	core
MSM6J2KC_G109957	core
MSM6J2KE_G109964	core
MSM6J2KM_G109944	core
MSM6J2R2_G109953	core
MSM6J2R8_G109968	core
MSM6J2RA_G110736	core
MSM6J2RC_G109901	core
MSM6J2IE_G109981	core
MSM6J2IG_G110746	core
MSM6J2II_G110749	core
MSM6J2IK_G110739	core
MSM6J2IM_G110725	core
MSM6J2IO_G109943	core
MSM6J2Q3_G109951	core
MSM6J2Q5_G111283	core
MSM6J2Q7_G111281	core
MSM6J2Q9_G111290	core
MSM6J2QB_G111303	core
MSM6J2QD_G109975	core
MSM79H63_G111337	core
MSM79H65_G111338	core
MSM79H67_G111330	core
MSM79H69_G111363	core
MSM79H6B_G111327	core
MSM5LLF4_G109956	core
MSM5LLF6_G111293	core
MSM5LLF8_G111300	core
MSM6J2LH_G111298	core
MSM6J2LJ_G109942	core
MSM6J2LL_G109950	core
MSM6J2LN_G111296	core
MSM6J2LR_G111289	core
MSM6J2MB_G109969	core
MSM6J2MD_G111302	core
MSM6J2MF_G111285	core
MSM6J2MH_G109896	core
MSM6J2MJ_G109902	core
MSM6J2ML_G111341	core
MSM79HBN_G111348	core
MSM79HBP_G111353	core
MSM79HBR_G111344	core
MSM79HBT_G111350	core
MSM79HBV_G111369	core
MSM6J2HN_G111292	core
MSM6J2HP_G109958	core
MSM6J2HR_G109965	core
MSM6J2HT_G109949	core
MSM6J2QL_G111295	core
MSM6J2QH_G109976	core
MSM6J2QP_G109977	core
MSM6J2QJ_G111287	core
MSM6J2QF_G109947	core
MSM79H5Q_G109903	core
MSM79H5U_G111356	core
MSM79H5Y_G109913	core
MSM79H5S_G111329	core
MSM79HAH_G109918	core
MSM6J2JN_G109961	core
MSM6J2JP_G109972	core
MSM6J2JR_G109940	core
MSM6J2JT_G111308	core
MSM6J2LV_G109978	core
MSM6J2SE_G109971	core
MSM6J2SI_G111284	core
MSM6J2SK_G109899	core
MSM79HES_G111342	core
MSM79HEU_G109909	core
MSM79HEW_G111349	core
MSM79HEY_G109923	core
MSM79HB6_G109928	core
MSM6J2JZ_G109962	core
MSM6J2K2_G109963	core
MSM6J2K4_G111301	core
MSM6J2K6_G109948	core
MSM6J2K8_G111299	core
MSM6J2KA_G111297	core
MSM6J2RK_G111294	core
MSM6J2RM_G111286	core
MSM6J2RO_G109966	core
MSM6J2RQ_G111291	core
MSM6J2RU_G111304	core
MSM6J2RS_G109945	core
MSM79H6D_G111339	core
MSM79H6F_G109904	core
MSM79H6J_G111355	core
MSM79H6H_G111358	core
MSM79H6L_G111360	core
MSM79H6N_G111354	core
MSM79H9Y_G109910	core
MSM79HA1_G111328	core
MSM79HA3_G109927	core
MSM79HA7_G111366	core
MSM6J2PO_G111288	core
MSM6J2PS_G109946	core
MSM6J2PU_G109897	core
MSM6J2PW_G111340	core
MSM79HC4_G109907	core
MSM79HC8_G109922	core
MSM79H7O_G109916	core
MSM79H7Q_G109920	core
MSM79H7W_G111322	core
MSM79H7Y_G109933	core
MSM9VZNH_G109935	core
MSM9VZNH_TR_M2047C20_MGX	core
MSM9VZNL_G109930	core
MSM6J2Q1_G109954	core
MSM6J2LW_G111282	core
MSM6J2LY_G111280	core
MSM6J2M3_G109980	core
MSM79HBL_G111346	core
MSM79HFW_G111351	core
