"mgen_id	mgen_group_id"
"HSM5MD66_G110539	hmp2"
"HSM5MD6A_G110524	hmp2"
"HSM5MD6A_TR_H4014C5_MGX	hmp2"
"HSM5MD6C_G111792	hmp2"
"HSM6XRRV_G110558	hmp2"
"HSM6XRS2_G111773	hmp2"
"HSM6XRVM_G110521	hmp2"
"HSM6XRVO_G110555	hmp2"
"HSM6XRVU_G111812	hmp2"
"HSM6XRVW_G110481	hmp2"
"HSM7J4QT_G110496	hmp2"
"HSM5MD62_G110537	hmp2"
"HSM5MD6Y_G110541	hmp2"
"HSM5MD71_G111746	hmp2"
"HSM5MD73_G110527	hmp2"
"HSM5MD75_G111800	hmp2"
"HSM6XRS4_G110514	hmp2"
